General Government Debt (Percent of GDP);1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Serbia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;20.063.484;9.589.121;68.420.451;64.446.006;57.582.793;50.132.767;37.041.338;300.107;29.414.268;32.629.895;381.979;42.009.583;51.726.713;54.101.797;63.473.951;67.077.702;64.978.412;55.256.826;5.113.673;49.454.295;54.324.922;53.637.457;50.906.755;45.666.757;44.479.026
Slovak Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;272.558;2.394.078;21.312.376;30.339.356;32.824.757;33.781.414;47.000.255;5.049.807;51.199.307;45.366.935;43.523.574;41.876.917;3.487.675;31.433.865;30.337.112;28.613;36.383.832;40.637.482;43.250.137;51.674.206;54.582.626;53.347.405;51.524.328;5.204.664;5.128.554;49.188.432;47.918.348;5.830.461;60.061.063;57.570.591;55.996.596;58.016.539
Slovenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;17.875.179;18.228.097;21.597.797;22.096.812;22.820.613;2.381.716;26.085.448;26.323.934;27.682.339;27.027.581;27.100.496;26.588.528;26.207.564;22.943.364;21.893.853;34.940.539;38.607.188;46.814.764;54.073.903;70.836.235;81.133.002;83.418.152;79.430.288;74.889.913;7.100.659;66.020.371;80.169.966;74.832.092;72.738.663;68.394.182;67.039.083
Spain;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;16.106.555;19.449.588;24.428.127;29.516.249;36.023.336;40.866.075;42.073.322;41.915.137;38.501.906;39.869.669;41.304.267;41.863.747;44.132.982;54.567.271;57.018.953;61.586.475;65.441.953;642.863;62.354.666;60.853.144;57.840.514;54.052.228;51.236.868;47.686.949;45.332.696;4.239.519;39.019.058;35.698.127;396.088;53.079.279;6.026.603;6.952.841;8.956.038;10.000.031;10.441.762;10.244.212;1.019.665;10.114.424;99.718.283;97.578.816;11.917.898;11.559.391;10.940.393;10.503.426;10.182.044
Sweden;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;27.469.387;2.782.541;27.685.224;27.024.738;27.372.383;26.603.891;24.819.755;26.935.373;31.111.936;35.650.989;39.808.513;4.695.316;55.605.621;58.875.072;59.986.364;5.966.507;59.164.897;52.649.012;47.202.419;42.912.027;38.969.887;4.686.488;58.966.183;66.096.477;68.551.374;68.692.631;68.933.618;67.701.155;6.539.963;60.278.689;50.438.187;51.985.968;49.839.962;49.444.645;48.665.728;48.897.303;43.840.028;39.198.756;37.952.244;41.192.322;38.592.934;37.669.829;37.992.414;40.776.753;45.686.272;44.456.223;42.786.434;41.558.426;39.809.703;35.694.355;40.139.073;36.685.462;3.362.902;31.460.915;32.642.485
Switzerland;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;33.322.485;33.005.222;32.417.934;31.128.789;30.239.281;28.993.612;26.941.506;3.333.143;35.092.407;39.487.218;44.372.402;47.078.919;49.994.437;51.339.083;53.671.176;55.938.444;52.685.049;52.225.356;5.107.727;57.699.737;56.876.919;57.802.975;54.884.316;4.846.323;44.750.984;44.817.402;43.091.054;41.456.666;41.882.551;4.256.903;41.947.608;42.070.336;42.160.255;40.933.626;41.751.039;39.783.452;39.637.382;43.200.142;40.980.365;37.191.378;38.679.454;37.577.806
Taiwan Province of China;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2.498.249;23.686.645;23.690.115;26.227.295;30.125.563;29.778.821;3.214.996;33.445.752;34.067.814;33.296.974;32.156.545;33.353.176;36.710.795;36.889.863;3.834.263;39.204.933;38.894.747;37.488.433;35.941.432;3.536.392;34.457.937;33.831.378;32.612.034;31.958.246;30.085.622;29.482.617;29.044.261;26.165.001
Tajikistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;96.566.524;10.780.669;11.142.891;99.448.644;98.296.912;69.760.188;49.412.182;45.843.282;36.806.967;34.269.358;30.228.601;36.939.891;36.837.828;35.512.324;32.462.498;29.291.642;27.892.329;35.018.934;42.179.214;46.299.834;46.584.732;43.494.513;51.761.681;42.096.837;32.501.197;30.937.345;2.954.284
Tanzania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;92.806.162;43.681.269;42.882.391;42.824.613;40.810.582;4.123.219;4.071.055;39.877.206;41.356.259;40.747.265;43.143.022;41.849.846;39.630.641;40.424.747;43.491.397;51.643.913;39.686.307;71.155.393;78.563.617;88.132.339;12.476.438;10.650.866;11.759.618;12.918.751;12.601.806;11.111.086;89.638.998;73.374.757;6.220.048;62.886.944;55.359.557;50.770.359;47.371.423;44.375.818;44.521.628;4.609.135;34.461.764;23.760.667;21.743.395;24.013.394;275.533;28.382.779;30.045.548;32.680.234;36.409.311;39.523.594;39.797.165;40.109.451;42.032.444;40.436.605;41.269.442;43.394.446;44.853.919;47.357.514;48.214.018
Thailand;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;25.896.613;23.992.813;22.899.202;22.079.366;26.795.897;27.782.025;27.315.354;28.516.681;29.638.856;29.951.162;32.216.929;30.691.023;32.527.594;33.952.898;34.046.603;45.095.585;52.779.103;53.739.223;54.629.002;57.172.238
Turkmenistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;84.865.335;1.079.154;88.152.011;72.895.174;45.068.043;31.963.482;22.366.796;15.091.677;90.119.749;55.866.573;40.470.442;47.064.996;40.813.683;62.146.681;10.018.897;13.761.804;16.013.711;12.304.383;1.454.457;18.520.179;19.980.362;18.662.507;15.271.739;13.323.125;10.652.752;57.720.019;4.656.105;46.214.895
TŸrkiye. Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;51.318.469;75.509.067;71.506.141;651.598;57.158.377;50.196.038;44.225.348;37.758.743;37.748.024;43.211.957;3.951.069;35.911.786;32.226.663;30.892.401;28.277.361;27.162.614;27.746.645;27.777.075;29.859.528;3.238.982;39.445.803;4.038.396;30.802.472;29.262.843;25.970.907
Ukraine;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;30.151.822;2.436.603;28.891.838;46.537.366;58.958.847;43.789.532;36.690.024;33.579.562;29.380.226;24.798.092;17.740.632;14.800.602;12.266.637;20.412.978;35.424.768;40.625.843;36.875.672;37.541.538;40.518.808;70.316.871;79.330.617;79.512.843;71.620.256;60.352.682;50.452.498;60.505.398;48.917.085;77.717.256;82.328.981;89.843.445
United Arab Emirates;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0.71818416;11.076.178;17.771.951;31.695.149;36.466.676;34.619.297;36.994.311;24.881.407;22.878.974;25.219.857;30.964.417;34.705.934;38.895.569;53.542.035;52.825.313;55.970.118;51.952.752;42.998.697;49.729.449;53.126.392;60.108.754;55.834.102;50.618.867;34.826.067;28.589.151;41.829.198;4.726.629;31.198.914;26.896.826;34.271.481;33.319.962;40.800.812;44.815.216;50.516.548;88.916.651;89.494.419;21.136.111;18.798.562;20.862.349;20.657.221;15.611.114;13.818.651;1.610.446;1.926.705;2.186.356;21.329.189;2.680.107;41.293.841;36.291.296;3.205.678;32.435.968;32.114.167
United Kingdom;17.989.667;16.218.009;15.014.853;14.087.122;13.584.146;12.755.345;1.190.355;11.263.947;10.893.689;1.033.618;97.938.579;94.152.184;9.098.159;89.213.628;82.645.272;77.227.696;7.467.233;71.868.372;70.964.438;66.036.904;73.421.641;67.936.117;65.039.682;58.538.645;56.166.139;49.589.365;47.683.601;53.680.622;47.254.308;44.521.022;43.709.274;41.131.367;44.700.805;44.199.324;44.139.236;42.894.147;42.862.741;41.752.464;36.584.168;3.143.626;28.262.052;28.722;33.977.266;42.115.983;40.703.311;45.057.845;44.738.476;44.132.032;41.969.512;40.409.759;37.685.691;34.957.749;35.434.462;36.763.689;39.801.548;41.000.423;42.058.289;43.173.898;50.827.372;64.915.012;7.586.023;81.425.066;84.482.601;85.316.059;87.094.325;87.866.687;8.782.519;86.722.814;86.345.145;85.657.192;10.584.011;10.513.074;99.613.684;10.036.298;10.128.941
United States;83.126.037;72.955.032;72.525.492;71.753.219;73.568.066;68.498.633;64.726.033;62.329.546;64.927.332;62.335.885;60.832.947;61.393.351;59.371.678;57.954.916;55.988.829;53.060.492;50.144.581;50.395.849;4.873.687;45.939.659;46.228.617;46.639.114;45.073.158;42.257.212;41.160.763;44.419.521;44.598.714;43.301.052;42.086.737;40.668.018;41.268.459;40.390.362;4.501.271;47.920.336;49.568.908;54.205.577;57.663.935;59.466.124;60.338.227;60.455.952;62.162.725;66.545.629;68.809.346;70.796.786;69.579.457;69.110.259;68.234.457;65.839.581;62.603.912;59.031.395;53.169.404;53.331.469;55.722.557;58.803.416;66.277.188;65.607.959;64.343.452;64.739.251;73.589.542;86.786.798;95.347.358;99.680.764;10.324.415;10.452.196;10.442.918;10.485.393;10.678.034;10.572.778;10.704.127;10.819.672;13.203.249;12.471.632;1.188.064;11.899.808;12.078.568
Uzbekistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;18.000.864;18.382.488;29.478.736;44.838.459;41.632.893;31.412.345;26.877.137;21.011.501;13.538.512;95.553.294;83.331.808;73.009.918;66.095.205;6.330.977;67.565.657;62.280.161;60.873.548;67.214.958;81.899.573;17.263.537;17.455.414;25.375.323;33.672.591;31.725.299;30.528.653;32.181.409;32.649.939
Venezuela;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;30.655.178;29.563.955;27.700.467;30.728.852;48.176.668;56.028.999;41.783.026;3.491.286;25.658.183;26.364.415;2.031.132;2.757.364;37.706.459;52.476.046;58.444.886;85.399.473;84.896.728;12.976.223;13.840.423;1.336.096;17.531.313;20.599.016;33.654.462;25.424.231;16.442.252;13.846.079;16.427.219
Vietnam;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;24.754.757;25.420.214;27.711.371;29.835.244;29.362.706;28.669.144;30.248.265;32.209.522;31.045.296;36.170.226;37.286.046;36.184.951;38.329.803;41.412.898;43.642.335;4.611.662;47.879.786;46.621.125;43.798.013;40.993.334;41.319.086;39.237.182;34.923.433;34.416.592;32.860.139
Yemen;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;91.565.431;82.685.029;78.022.149;7.674.738;73.349.757;84.107.591;11.490.499;74.156.532;11.059.523;96.050.252;60.840.745;60.568.578;57.827.228;56.823.012;52.068.094;4.380.071;40.842.372;40.407.906;36.421.266;49.842.358;42.379.573;45.725.985;47.577.187;48.431.843;48.949.944;5.773.725;7.650.523;83.788.551;86.897.102;91.478.351;86.997.026;75.914.176;65.312.807;77.860.449;70.940.258
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
©IMF, 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
