geo,election_year,election_date,vs_AGR,vs_CHR,vs_CON,vs_DIV,vs_ECO,vs_ETH,vs_LEF,vs_LIB,vs_NAT,vs_SIP,vs_SOC,fragmentation_enp,polarization_dalton
HR,2000,2000-01-03,9.996,0.0,0.0,40.991,0.0,2.352,0.0,2.352,29.650000000000002,0.0,0.0,4.143003808920682,2.100437640844439
HR,2003,2003-11-23,7.155,0.0,0.0,4.047,0.0,0.0,22.6,10.712,40.312999999999995,3.975,0.0,5.386365703210092,3.5529403980310494
HR,2007,2007-11-25,0.0,0.0,0.0,6.516,0.0,1.541,31.234,6.8,36.552,1.794,0.0,4.156443835901165,1.7158977211971034
HR,2011,2011-12-04,2.993,0.0,0.0,0.0,0.0,0.0,5.175,2.816,23.919,2.932,40.719,4.381313271979841,1.7707035265711049
HR,2015,2015-11-08,0.0,0.0,32.592,0.0,0.0,1.783,0.0,14.292,0.0,8.489,31.402,4.451968128117984,2.8356756215265158
HR,2016,2016-09-11,0.0,0.0,0.0,0.0,0.0,2.224,6.038,13.614,32.911,0.0,32.795,4.331136849542473,1.3466851198463123
HR,2020,2020-07-05,0.0,0.0,0.0,0.0,0.0,0.0,5.989,13.69,48.143,0.0,25.872,4.493768187875144,2.456224465229934
HU,1994,1994-05-08,8.82,18.764,0.0,0.0,0.0,0.0,0.0,19.738,7.025,0.0,33.59,5.578619275317061,2.114984532681096
HU,1998,1998-05-10,13.38,5.189,0.0,0.0,0.0,0.0,0.0,7.71,33.74,0.0,33.51,4.5463724559868774,1.088549392202446
HU,2002,2002-04-07,1.2,0.0,0.0,0.0,0.0,0.0,0.0,5.574,41.07,0.0,42.053,2.8672115332918735,2.1192836026478052
HU,2006,2006-04-09,0.0,2.85,0.0,0.0,0.0,0.0,0.0,4.66,42.49,0.0,48.19,2.405283368478131,1.5126949885109433
HU,2010,2010-04-11,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,80.06,0.0,15.36,1.997302004506273,1.682321287493979
HU,2014,2014-04-06,0.0,0.0,0.0,0.0,5.273,0.0,4.7989999999999995,0.0,65.213,0.0,19.88,3.5084450523076542,4.398409844636717
HU,2018,2018-04-08,0.0,0.0,0.0,0.0,7.055,0.0,7.8180000000000005,0.0,68.338,0.0,10.124,3.3600396644349484,6.415970674990366
HU,2022,2022-04-03,0.0,0.0,0.0,34.44,0.0,0.0,0.0,0.0,60.009668108494296,0.0,0.0,2.409208381604275,5.08820394442885
IE,1992,1992-11-25,0.0,24.472,39.113,0.0,1.398,0.0,2.78,4.684,0.0,0.0,19.307,3.9477500095296714,2.0424410642035675
IE,1997,1997-06-06,0.0,27.945,39.334,0.0,2.757,0.0,2.51,4.682,0.0,2.55,10.399,4.034616110543689,1.645106964431414
IE,2002,2002-05-17,0.0,22.478,41.485,0.0,3.847,0.0,0.0,3.963,0.0,6.514,10.772,4.1403775687398765,1.4554984160856679
IE,2007,2007-05-24,0.0,27.322,41.561,0.0,4.692,0.0,0.0,2.73,0.0,6.942,10.126,3.767892673418944,0.6571635862295062
IE,2011,2011-02-25,0.0,36.104,17.446,0.0,1.8,0.0,2.7,0.0,0.0,9.94,19.447,4.772401452094582,1.4925595672090646
IE,2016,2016-02-26,0.0,25.516,24.35,0.0,2.719,0.0,4.295,0.0,0.0,18.058,9.611,6.57284617152898,2.023075282232397
IE,2020,2020-02-08,0.0,20.8642223523911,22.1807849730409,0.0,7.13056030966952,1.9040627179711,3.015403329258817,0.0,0.0,24.5283122562101,7.280961800128139,6.192229192317317,2.1375109104597723
IT,1994,1994-03-28,0.0,16.884999999999998,21.037,0.0,2.701,0.0,26.402,0.0,22.1,1.861,5.694,7.014775391163972,3.2526038324020434
IT,1996,1996-04-21,0.0,12.649999999999999,20.574,0.0,2.5,0.0,29.634,0.0,25.741,0.0,6.208,7.161944938533298,4.830634210435535
IT,2001,2001-05-13,0.0,3.22,30.37,0.0,2.17,0.0,23.259999999999998,14.51,15.95,6.3,0.0,6.348749239261123,3.12554334017544
IT,2006,2006-04-10,0.0,6.762,24.457,0.0,2.054,0.478,10.76,0.0,16.917,3.7,31.265,5.503475497334758,6.4700527409486455
IT,2008,2008-04-13,0.0,5.69,37.217,0.0,0.0,0.0,0.0,0.0,8.073,4.364,33.163,3.8439604483177705,1.9822974585843847
IT,2013,2013-02-24,0.0,1.789,21.793,0.0,0.0,0.482,5.454000000000001,8.796,5.819,25.555,25.423,5.344153345614936,4.452042961779592
IT,2018,2018-03-04,0.0,1.9100000000000001,13.525,0.0,0.0,0.396,0.56,2.662,21.689,32.165,22.447000000000003,5.200503433694798,1.8262161802599899
LT,1992,1992-10-25,0.0,12.61,0.0,0.0,0.0,2.14,43.976,23.696,1.986,0.0,6.048,3.8570917632400934,2.012821486331875
LT,1996,1996-10-20,0.0,10.426,31.34,0.0,0.0,0.0,10.011,8.672,0.0,0.0,6.944,7.607224300059046,1.5010231561898242
LT,2000,2000-10-08,4.081,3.074,8.622,0.0,0.0,1.947,0.0,39.745,0.0,0.0,31.082,5.676364669290683,1.2623949985425724
LT,2004,2004-10-10,6.6,0.0,14.754,0.0,0.0,0.0,0.0,48.986000000000004,0.0,0.0,20.646,5.848923118325894,2.7763823468133837
LT,2008,2008-10-12,0.0,0.0,34.806,0.0,0.0,0.0,0.0,20.060000000000002,12.677,0.0,11.716,9.4648819888368,1.713986505360306
LT,2012,2012-10-14,4.05,0.0,15.745,0.0,0.0,6.085,0.0,29.647,7.631,8.342,19.176,7.661234338728558,2.5699603932924977
LT,2016,2016-10-09,22.452,0.0,22.629,0.0,0.0,5.718,0.0,14.332,5.555,0.0,15.038,7.047284746445049,1.9384653666917255
LT,2020,2020-10-11,18.0661649439245,0.0,25.7704702261281,0.0,0.0,4.97423605787426,0.0,26.25540222361214,0.0,0.0,12.86618011734702,7.395719561919479,1.369994476053977
LU,1994,1994-06-12,0.0,30.3,0.0,0.0,9.9,0.0,0.0,19.3,0.0,9.0,25.4,4.728691334673129,2.6799348544756376
LU,1999,1999-06-13,0.0,30.1,0.0,0.0,9.6,0.0,0.0,22.4,0.0,10.4,22.2,4.759796851870362,1.666878403998548
LU,2004,2004-06-13,0.0,36.112,0.0,0.0,11.58,0.0,0.0,16.048,0.0,9.947,23.373,4.271767843688818,1.547453174304169
LU,2009,2009-06-07,0.0,38.006,0.0,0.0,11.704,0.0,3.286,14.973,0.0,8.127,21.548,4.261134945366988,2.3564639127174085
LU,2013,2013-10-20,0.0,33.681,0.0,0.0,10.13,0.0,4.937,18.246,0.0,6.643,20.282,4.878510170941684,2.073195137664921
LV,1995,1995-09-30,6.361,0.0,6.346,0.0,0.0,0.0,12.759,29.936,26.959,0.0,5.607,9.89236293990675,4.172860270965705
LV,1998,1998-10-03,0.0,0.0,21.305,0.0,0.0,0.0,14.201,25.496,14.732,0.0,12.878,7.033391734820268,1.8082374010568476
LV,2002,2002-10-05,9.468,9.569,40.666,0.0,0.0,0.0,0.0,4.89,5.392,0.0,19.095,6.885809936618157,1.1563107696810353
LV,2006,2006-10-07,16.705,0.0,35.934,0.0,0.0,0.0,14.423,8.581,6.941,0.0,6.026,7.716689987069699,2.9972089776567117
LV,2010,2010-10-02,20.112,0.0,31.903,0.0,0.0,0.0,26.608,7.819,7.835,0.0,0.0,4.438913355200277,2.122078534145506
LV,2011,2011-09-17,12.327,0.0,40.013999999999996,0.0,0.0,0.0,28.62,0.0,14.006,0.0,0.0,5.076617424487896,3.113230052154324
LV,2014,2014-10-04,19.658,0.0,28.908,0.0,0.0,6.708,0.0,0.0,16.719,0.0,23.153,5.620903783230682,1.402379907203547
LV,2018,2018-10-06,9.973,0.0,20.409,0.0,0.0,0.0,0.0,12.12,25.414,0.0,19.919,8.30816881082738,3.8480236789851583
LV,2022,2022-10-01,12.5798023325686,0.0,19.1918454161452,0.0,11.1361948742805,0.0,0.0,0.0,22.59087976503892,0.0,11.09624529264452,11.253469856192808,3.5119217459067054
MT,1996,1996-10-26,0.0,0.0,47.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.73,2.0580187809356665,1.301595778102878
MT,1998,1998-09-05,0.0,0.0,51.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.966,2.044912462723646,0.04109653392144066
MT,2003,2003-04-12,0.0,0.0,51.7949208576501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5144660238898,2.0241528770268755,0.8829112348645117
MT,2008,2008-03-08,0.0,0.0,49.3357955151153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.792464898435,2.07696166927848,1.1501646555884342
MT,2013,2013-03-09,0.0,0.0,43.3393551427562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8289020670515,2.0472890162363724,1.1430021721504848
MT,2017,2017-06-03,0.0,0.0,42.12,0.0,0.0,0.0,0.0,1.55987961308805,0.0,0.0,55.0354883878132,2.080978096850085,0.8722000380357543
MT,2022,2022-03-26,0.0,0.0,41.7388094076844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1085866796727,2.092450954447887,1.424214325940269
NL,1994,1994-05-03,0.0,25.317,0.0,0.0,3.467,0.0,1.322,35.446,2.5,6.229,23.973,5.720205087107891,2.0347804077653535
NL,1998,1998-05-06,0.0,21.598,0.0,0.0,7.27,0.0,3.528,33.68,0.0,1.781,28.98,5.150025577936784,2.820047500924473
NL,2002,2002-05-15,0.0,30.47,0.0,0.0,6.95,0.0,5.9,22.15,17.0,1.718,15.11,6.035336931532006,2.2819499394799942
NL,2003,2003-01-22,0.0,30.779999999999998,0.0,0.0,5.13,0.0,6.33,22.432999999999996,5.71,0.0,27.28,4.981173631843169,2.625753999727134
NL,2006,2006-11-22,0.0,30.487000000000002,0.0,0.0,4.605,0.0,16.575,16.634,5.89,3.387,21.193,5.802676576833621,2.560323557571756
NL,2010,2010-06-09,0.0,16.868,0.0,0.0,6.67,0.0,9.83,27.412999999999997,15.45,3.04,19.63,6.977613046536569,1.9810809173824113
NL,2012,2012-09-12,0.0,11.632,0.0,0.0,2.333,0.0,9.654,34.613,10.083,5.906,24.838,5.945180924242309,3.0218489984835037
NL,2017,2017-03-15,0.0,15.767,0.0,0.0,9.125,0.0,9.087,33.512,14.835999999999999,8.381,7.758000000000001,8.56414201343931,2.99799637509685
